Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
Scène Nationale;Maison de la Culture de Bourges;;Place André Malraux;BP 257;18000;BOURGES Cedex;2.401528;47.06516500000001;47.06516500000001,2.401528;47.067036, 2.390459;47.065165, 2.401528;Centre-Val de Loire
Scène Nationale;Le Channel - Scène nationale;;173, boulevard Gambetta;BP 77;62100;CALAIS Cedex;1.8526950000000002;50.947493999999985;50.947493999999985,1.8526950000000002;50.946054, 1.839457;50.947494, 1.852695;Hauts-de-France
Scène Nationale;L’Equinoxe - Scène nationale;;CS 60306, Avenue Charles de Gaulle;BP 306;36000;CHATEAUROUX;1.693225;46.80716699999999;46.80716699999999,1.693225;46.808249, 1.691556;46.807167, 1.693225;Centre-Val de Loire
Scène Nationale;DSN (Dieppe - Scène Nationale);;1, Quai Bérigny;;76200;DIEPPE;1.081686;49.922206999999986;49.922206999999986,1.081686;49.922094, 1.081377;49.922207, 1.081686;Normandie
Scène Nationale;L'Arc - Scène nationale;;Esplanade François Mitterrand;BP 5;71200;LE CREUSOT Cedex;4.430211;46.806533999999985;46.806533999999985,4.430211;46.80645, 4.429984;46.806534, 4.430211;Bourgogne-Franche-Comté
Scène Nationale;Théâtre du Merlan - Scène nationale;;Avenue Raimu;BP 153;13307;MARSEILLE Cedex 14;5.398464;43.331385000000004;43.331385000000004,5.398464;;43.331385, 5.398464;Provence-Alpes-Côte d'Azur
Scène Nationale;Scène nationale de Petit-Quevilly/Mont-Saint-Aignan;;rue François Mitterrand;BP 14;76141;PETIT-QUEVILLY Cedex;1.058548;49.425514;49.425514,1.058548;;49.425514, 1.058548;Normandie
Scène Nationale;La Rose des Vents - Scène nationale;;Boulevard Van Gogh;;59650;VILLENEUVE D’ASCQ;3.150994;50.64033199999998;50.64033199999998,3.150994;50.622184, 3.132038;50.640332, 3.150994;Hauts-de-France
Centre d’art;LE CREUX DE L'ENFER;CENTRE D'ART CONTEMPORAIN;Vallée des Usines;;63300;THIERS;;;;45.851689, 3.544298;45.851689, 3.544298;Auvergne-Rhône-Alpes
Centre d’art;LE QUARTIER;CENTRE D'ART CONTEMPORAIN;10, esplanade François Miterrand;;29000;QUIMPER;;;;47.996199, -4.10972;47.996199, -4.10972;Bretagne
Centre d’art;LE 10 NEUF  CENTRE D'ART CONTEMPORAIN;;19, avenue des Alliés;;25200;MONTBÉLIARD CEDEX;;;;47.510623, 6.800619;47.510623, 6.800619;Bourgogne-Franche-Comté
Centre d’art;LE SPOT - CENTRE D'ART CONTEMPORAIN;;32, rue Jules Lecesne;;76600;LE HAVRE;;;;49.493657, 0.1141;49.493657, 0.1141;Normandie
Centre d’art;LE PLATEAU;;33 rue des Alouettes;;75019;PARIS;;;;48.878195, 2.385454;48.878195, 2.385454;Île-de-France
Centre d’art;CENTRE INTERNATIONAL DES ARTS ET DU;PAYSAGE DE VASSIVIÈRE-EN-LIMOUSIN;Ile de Vassivière;;87120;BEAUMONT DU LAC;;;;45.799741, 1.864969;45.799741, 1.864969;Nouvelle-Aquitaine
Centre d’art;ABBAYE SAINT-ANDRÉ - CENTRE D'ART;CONTEMPORAIN;Place du Bûcher;;19250;MEYMAC;;;;45.535139, 2.147698;45.535139, 2.147698;Nouvelle-Aquitaine
Centre d’art;LE BBB;;96, rue Michel-Ange;;31200;TOULOUSE;;;;43.626865, 1.447559;43.626865, 1.447559;Occitanie
Centre d’art;LES ABATTOIRS - MUSÉE D'ART MODERNE;ET CONTEMPORAIN - FRAC MIDI-PYRÉNÉES;76, allée Charles de Fitte;;31300;TOULOUSE;;;;43.600678, 1.428998;43.600678, 1.428998;Occitanie
Centre d’art;ATELIERS DE L'IMPRIME;CENTRE D'ART CONTEMPORAIN;12 rue Taupanne;;86100;CHÂTELLERAULT;;;;46.819975, 0.543428;46.819975, 0.543428;Nouvelle-Aquitaine
Centre d’art;ESPACE DE L'ART CONCRET;;Château de Mouans;;6370;MOUANS-SARTOUX;;;;43.620041, 6.969023;43.620041, 6.969023;Provence-Alpes-Côte d'Azur
Centre d’art;COLLECTION LAMBERT EN AVIGNON;MUSÉE D'ART CONTEMPORAIN;5, rue Violette;;84000;AVIGNON;;;;43.944956, 4.804371;43.944956, 4.804371;Provence-Alpes-Côte d'Azur
SMAC;La Laiterie;La laiterie Artefact PRL;13, rue du Hohwald;;67000;STRASBOURG;;;;48.576071, 7.729923;48.576071, 7.729923;Grand Est
SMAC;Jazzdor;Jazzdor Festival;25, rue des Frères;;67000;STRASBOURG;;;;48.582945, 7.753095;48.582945, 7.753095;Grand Est
SMAC;L'Orange Bleue;Bords 2 Scènes;4 rue Auguste Choisy;Quartier des Bords de marne;51300;VITRY-LE-FRANCOIS;;;;48.726411, 4.578533;48.726411, 4.578533;Grand Est
SMAC;SMAC d'agglomération Bordelaise : Le Rocher de Palmer;;1, rue Aristide Briand;;33150;saint nazaire;;;;44.861266, -0.523474;44.861266, -0.523474;Nouvelle-Aquitaine
SMAC;Le Carré Bleu;Association Jazz à Poitiers;2 place Aristide Briand;C/o la Maison du Coin,;86000;POITIERS;;;;46.580464, 0.335706;46.580464, 0.335706;Nouvelle-Aquitaine
SMAC;Le Confort Moderne;L'Oreille est hardie;185, faubourg du Pont Neuf;;86000;POITIERS;;;;46.572692, 0.359674;46.572692, 0.359674;Nouvelle-Aquitaine
SMAC;SMAC Ardèche (La Presqu'ïle/Cavajazz);Association de gestion de la Smac ardéchoise;Quartier Fontanes;;7100;ANNONAY;;;;45.236866, 4.673671;45.236866, 4.673671;Auvergne-Rhône-Alpes
SMAC;Le Silex/ Jazz Club d'Auxerre;Service Compris;7, rue de l'ïle aux plaisirs;cité des Musiques;89000;AUXERRE;;;;47.795498, 3.58031;47.795498, 3.58031;Bourgogne-Franche-Comté
SMAC;CC Paul Bailliart;;6, Allée de Québec;;91300;MASSY;;;;48.730561, 2.28347;48.730561, 2.28347;Île-de-France
SMAC;Les Docks;EPCI;430 allée des soupirs;;46000;CAHORS;;;;44.444665, 1.433007;44.444665, 1.433007;Occitanie
SMAC;Le Grand Mix;Association la Passerelle;25, rue du Calvaire;;59200;TOURCOING;;;;50.725859, 3.15489;50.725859, 3.15489;Hauts-de-France
SMAC;La Grange à Musique;;16 Boulevard Salvador Allende;Service culture BP 76;60100;CREIL;;;;49.250057, 2.474793;49.250057, 2.474793;Hauts-de-France
