Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
FRAC;Fonds régional d'art contemporain NORD-PAS-DE-CALAIS;;930, avenue Rosendaël;;59240;DUNKERQUE;;;;51.037813, 2.398842;51.037813, 2.398842;Hauts-de-France
FRAC;Fonds régional d'art contemporain PICARDIE;;45, rue Pointin;;80000;AMIENS;;;;49.885615, 2.310726;49.885615, 2.310726;Hauts-de-France
Centres nationaux de création musicale;Césaré;;38 rue Alain-Colas;;51450;Bétheny;4.044629;49.271201000000005;49.271201000000005,4.044629;49.271179, 4.04453;49.271201, 4.044629;Grand Est
Opéra en région;Opéra Theatre d’Avignon et des pays de Vaucluse;;B.P. 111;;84007;AVIGNON Cedex;4.821076;43.93483399999998;43.93483399999998,4.821076;;43.934834, 4.821076;Provence-Alpes-Côte d'Azur
Opéra en région;Opéra National de Bordeaux;;Place de la Comédie;B.P. 95;33025;BORDEAUX Cedex;-0.574308;44.84234200000002;44.84234200000002,-0.574308;;44.842342, -0.574308;Nouvelle-Aquitaine
Opéra en région;Opéra de Lille;;2 rue des Bons Enfants;BP 133;59001;LILLE CEDEX;3.0652490000000006;50.638211999999996;50.638211999999996,3.0652490000000006;;50.638212, 3.065249;Hauts-de-France
Opéra en région;Opéra National de Montpellier;;11 boulevard Victor Hugo;;34967;MONTPELLIER Cedex 2;3.879195;43.60786200000002;43.60786200000002,3.879195;;43.607862, 3.879195;Occitanie
Centre chorégraphique national;Centre chorégraphique national d'Aix-en-Provence - Ballet Preljocaj;;Pavillon Noir;530 avenue Mozart;13627;Aix-en-Provence Cedex 01;5.470849;43.551174;43.551174,5.470849;;43.551174, 5.470849;Provence-Alpes-Côte d'Azur
Centre chorégraphique national;Ballet Biarritz - Centre chorégraphique national d'Aquitaine en Pyrénées Atlantiques;;23, avenue Foch;Gare du Midi;64200;Biarritz;-1.558622;43.479276999999996;43.479276999999996,-1.558622;43.479443, -1.558602;43.479277, -1.558622;Nouvelle-Aquitaine
Centre chorégraphique national;Ballet de l'Opéra national du Rhin;;38, passage du Théâtre;;68100;Mulhouse;7.3392719999999985;47.745475;47.745475,7.3392719999999985;47.745405, 7.339012;47.745475, 7.339272;Grand Est
Pôle cirque;La Cascade;;Avenue de Tourne;;7700;BOURG-SAINT-ANDEOL;;;;44.369746, 4.642929;44.369746, 4.642929;Auvergne-Rhône-Alpes
Centre d’art;CENTRE RHÉNAN D'ART CONTEMPORAIN;CRAC ALSACE;18, rue du Château;;68130;ALTKIRCH;;;;47.625137, 7.239095;47.625137, 7.239095;Grand Est
Centre d’art;LA KUNSTHALLE;;La Fonderie;;68100;MULHOUSE;;;;47.739008, 7.331286;47.739008, 7.331286;Grand Est
Centre d’art;LE POINT DU JOUR;CENTRE REGIONAL DE PHOTOGRAPHIE;109, avenue de Paris;;50100;CHERBOURG-OCTEVILLE;;;;49.632506, -1.61739;49.632506, -1.61739;Normandie
Centre d’art;CENTRE D'ART DE L'YONNE;;10, route de Saint-Georges;;89000;AUXERRE;;;;47.797124, 3.55735;47.797124, 3.55735;Bourgogne-Franche-Comté
Centre d’art;CCC DE TOURS;CENTRE DE CRÉATION CONTEMPORAINE;53-55, rue Marcel Tribut;;37000;TOURS;;;;47.389465, 0.699598;47.389465, 0.699598;Centre-Val de Loire
Centre d’art;LA GALERIE, CENTRE D'ART CONTEMPORAIN;;1, rue Jean Jaurès;;93130;NOISY-LE-SEC CEDEX;;;;48.890274, 2.452941;48.890274, 2.452941;Île-de-France
Centre d’art;CENTRE RÉGIONAL D'ART CONTEMPORAIN;;26, quai Aspirant Herber;;34200;SÈTE;;;;43.398779, 3.697941;43.398779, 3.697941;Occitanie
Centre d’art;INSTITUT D'ART CONTEMPORAIN;;11, rue du docteur Dolard;;69100;VILLEURBANNE;;;;45.762473, 4.872414;45.762473, 4.872414;Auvergne-Rhône-Alpes
Centre d’art;LE VENT DES FORETS;Espace rural d’art contemporain – Mairie;21 rue des Tassons;;55260;Fresnes-au-Mont;;;;48.896425, 5.440821;48.896425, 5.440821;Grand Est
Orchestre Permanent;Orchestre symphonique du Rhin-Mulhouse;;La Filature - 20, allée Nathan Katz;;68090;Mulhouse cedex;7.351713000000001;47.75726;47.75726,7.351713000000001;;47.75726, 7.351713;Grand Est
Orchestre Permanent;L'Ensemble de Basse-Normandie;;4, rue de l’hôtellerie;;14120;MONDEVILLE;-0.317366;49.176447;49.176447,-0.317366;49.184957, -0.310136;49.176447, -0.317366;Normandie
Orchestre Permanent;Orchestre symphonique et lyrique de Nancy;;1, rue Sainte Catherine;;54000;NANCY;6.183877;48.69375500000001;48.69375500000001,6.183877;48.693985, 6.184578;48.693755, 6.183877;Grand Est
Orchestre Permanent;Orchestre national de Lille;;3, place Mendès-France;BP 119;59027;Lille Cedex;3.019732;50.636335;50.636335,3.019732;;50.636335, 3.019732;Hauts-de-France
Centre d’art;C.P.I.F. - CENTRE PHOTOGRAPHIQUE;D'ÎLE-DE-FRANCE;Ferme Briarde;;77340;PONTAULT-COMBAULT;;;;48.806089, 2.603425;48.806089, 2.603425;Île-de-France
Centre d’art;CAC BRÉTIGNY-SUR-ORGE;CENTRE D'ART CONTEMPORAIN;Espace Jules Verne;;91220;BRÉTIGNY-SUR-ORGE;;;;48.610093, 2.300881;48.610093, 2.300881;Île-de-France
Centre d’art;CENTRE NATIONAL DE L'ESTAMPE;ET DE L'ART IMPRIMÉ - CNEAI;Maison Levanneur;;78400;CHATOU;;;;48.900097, 2.152636;48.900097, 2.152636;Île-de-France
Centre d’art;CENTRE DU LIVRE D'ARTISTE PAYS-PAYSAGE;;1, place Attane;;87500;SAINT-YRIEIX-LA-PERCHE;;;;45.515511, 1.202284;45.515511, 1.202284;Nouvelle-Aquitaine
Centre d’art;LA SYNAGOGUE DE DELME;CENTRE D'ART CONTEMPORAIN;33, rue Raymond Poincaré;;57590;DELME;;;;48.888718, 6.38938;48.888718, 6.38938;Grand Est
Centre d’art;LE PARVIS CENTRE D'ART CONTEMPORAIN;DE LA SCÈNE NATIONALE;Centre Le  Méridien;;65420;IBOS;;;;43.239779, 0.015476;43.239779, 0.015476;Occitanie
Centre d’art;MAISON DES ARTS GEORGES POMPIDOU;;Route de Gréalou;;46160;CAJARC-SUR-LOT;;;;44.508858, 1.925494;44.508858, 1.925494;Occitanie
Centre d’art;CHAPELLE SAINT-JACQUES;;Avenue du Maréchal Foch;;31800;SAINT-GAUDENS;;;;43.105264, 0.715872;43.105264, 0.715872;Occitanie
Centre d’art;CENTRE RÉGIONAL DE LA PHOTOGRAPHIE;DU NORD PAS DE CALAIS;Place des Nations;;59282;DOUCHY-LES-MINES;;;;50.300856, 3.385655;50.300856, 3.385655;Hauts-de-France
Centre d’art;LE CARRE;CHÂTEAU-GONTIER;Place André Counord;;53200;CHÂTEAU-GONTIER;;;;47.822319, -0.709951;47.822319, -0.709951;Pays de la Loire
Centre d’art;LE CONFORT MODERNE;ENTREPOT- GALERIE;185, rue du faubourg du Pont Neuf;;86000;POITIERS;;;;46.572692, 0.359674;46.572692, 0.359674;Nouvelle-Aquitaine
Centre d’art;VILLA NOAILLES - F.I.A.M.H.;;BP176;;83400;HYÈRES;;;;43.118457, 6.128004;43.118457, 6.128004;Provence-Alpes-Côte d'Azur
Centre d’art;VILLA ARSON - CENTRE D'ART;;20 avenue Stephen Liégeard;;6100;NICE;;;;;;
Orchestre Permanent;Ensemble Orchestral de Paris;;125, rue Aristide Briand;;92300;LEVALLOIS-PERRET;2.295428;48.89548600000001;48.89548600000001,2.295428;48.895515, 2.295392;48.895486, 2.295428;Île-de-France
Orchestre Permanent;Orchestre national d'Ile-de-France;;19 rue des Ecoles;;94140;ALFORTVILLE;2.415703;48.803256999999995;48.803256999999995,2.415703;48.803228, 2.415571;48.803257, 2.415703;Île-de-France
Orchestre Permanent;Orchestre National de Lorraine;;31 rue de Belletanche;BP 15153;57074;Metz cedex 3;6.207467000000001;49.10932400000003;49.10932400000003,6.207467000000001;;49.109324, 6.207467;Grand Est
Orchestre Permanent;Orchestre de chambre de Toulouse;;22, allée de Barcelone;;31000;TOULOUSE;1.420983;43.61015300000002;43.61015300000002,1.420983;43.605728, 1.433403;43.610153, 1.420983;Occitanie
Orchestre Permanent;Orchestre national des Pays de la Loire;;7, rue de Valmy;B.P. 71229;44012;NANTES cedex 1;-1.544615;47.21330499999999;47.21330499999999,-1.544615;;47.213305, -1.544615;Pays de la Loire
Orchestre Permanent;Orchestre lyrique de région Avignon Provence;;258, Chemin des Rémouleurs;BP 10967 - Z.I de Courtine;84093;Avignon Cedex 9;4.788369999999999;43.938124000000016;43.938124000000016,4.788369999999999;;43.938124, 4.78837;Provence-Alpes-Côte d'Azur
Orchestre Permanent;Orchestre régional de Cannes Provence Alpes Côte d’Azur;;24, avenue des Arlucs;;6150;Cannes La Bocca;;;;43.547756, 6.963784;43.547756, 6.963784;Provence-Alpes-Côte d'Azur
Orchestre Permanent;Les Musiciens du Louvre - Grenoble;;1, rue du Vieux Temple;BP 3046;38816;GRENOBLE cedex 1;5.733685999999999;45.193523999999975;45.193523999999975,5.733685999999999;;45.193524, 5.733686;Auvergne-Rhône-Alpes
Centre Dramatique National;THEATRE DE LORIENT;CENTRE DRAMATIQUE NATIONAL DE BRETAGNE;11, rue Claire Droneau;B.P. 726;56107;LORIENT CEDEX;-3.3740629999999996;47.744379000000016;47.744379000000016,-3.3740629999999996;;47.744379, -3.374063;Bretagne
Centre Dramatique National;CENTRE DRAMATIQUE NATIONAL DE LYON;Théâtre Nouvelle Génération;23, rue de Bourgogne;B.P. 518;69257;LYON Cedex 09;4.803453;45.777472999999986;45.777472999999986,4.803453;;45.777473, 4.803453;Auvergne-Rhône-Alpes
Centre Dramatique National;LA COMEDIE DE REIMS;;3, chaussée Bocquaine;B.P. 1434;51066;REIMS CEDEX;4.021048;49.24878800000002;49.24878800000002,4.021048;;49.248788, 4.021048;Grand Est
Centre Dramatique National;THEATRE NATIONAL POPULAIRE;;8, place Lazare Goujon;;69627;VILLEURBANNE CEDEX;4.879626000000001;45.765804;45.765804,4.879626000000001;;45.765804, 4.879626;Auvergne-Rhône-Alpes
Centre Dramatique Régional;CENTRE DRAMATIQUE DE L’OCEAN INDIEN;Théâtre du Grand Marché;2, rue du Maréchal Leclerc;;97400;SAINT-DENIS DE LA REUNION;;;;-20.880868, 55.44749;-20.880868, 55.44749;
Centre Dramatique National;THEATRE DU PREAU;;Place Castel;B.P. 104;14504;VIRE Cedex;-0.890608;48.85109500000002;48.85109500000002,-0.890608;;48.851095, -0.890608;Normandie
Centre national des arts de la rue;Le Fourneau;;11 Quai de la Douane;;29200;BREST;-4.482418000000001;48.38279299999999;48.38279299999999,-4.482418000000001;48.383091, -4.483333;48.382793, -4.482418;Bretagne
Centre national des arts de la rue;Usines Boinot;;3 rue de la Chamoiserie;;79000;NIORT;-0.46987199999999996;46.32470099999998;46.32470099999998,-0.46987199999999996;46.324598, -0.469989;46.324701, -0.469872;Nouvelle-Aquitaine
Centre national des arts de la rue;Moulin fondu;;53 rue de Merlan;;93130;NOISY-LE-SEC;2.4661480000000005;48.89063699999999;48.89063699999999,2.4661480000000005;48.890637, 2.466098;48.890637, 2.466148;Île-de-France
Centre national des arts de la rue;Atelier 231;;1 rue Denis Papin;;76300;SOTTEVILLE-LES-ROUEN;1.098532;49.41700800000001;49.41700800000001,1.098532;49.417564, 1.098308;49.417008, 1.098532;Normandie
Centre chorégraphique national;Centre National de Danse Contemporaine d'Angers;;17, rue de la Tannerie;BP 50107;49101;Angers cedex 02;-0.5650089999999999;47.47295999999999;47.47295999999999,-0.5650089999999999;;47.47296, -0.565009;Pays de la Loire
Centre chorégraphique national;Centre chorégraphique national deTours;;47, rue du Sergent Leclerc;;37000;Tours;0.675551;47.377714000000005;47.377714000000005,0.675551;47.37777, 0.6755;47.377714, 0.675551;Centre-Val de Loire
FRAC;Fonds régional d'art contemporain BASSE-NORMANDIE;;9, rue Vaubenard;;14000;CAEN;;;;49.187613, -0.346583;49.187613, -0.346583;Normandie
FRAC;Fonds régional d'art contemporain BRETAGNE;;19 avenue André Mussat;;35000;RENNES;;;;48.130653, -1.695448;48.130653, -1.695448;Bretagne
FRAC;Fonds régional d'art contemporain POITOU-CHARENTES;;63, boulevard Besson Bey;;16000;ANGOULÊME;;;;45.654456, 0.158254;45.654456, 0.158254;Nouvelle-Aquitaine
FRAC;Fonds régional d'art contemporain RHONE-ALPES;;11 rue du Docteur Dolard;;69100;VILLEURBANNE;;;;45.762473, 4.872414;45.762473, 4.872414;Auvergne-Rhône-Alpes
Opéra en région;Théâtre du Capitole de Toulouse;;-;B.P. 129;31014;TOULOUSE Cedex 6;1.439218;43.60800600000001;43.60800600000001,1.439218;;43.608006, 1.439218;Occitanie
Opéra en région;Opera de Rennes;;-;;35031;RENNES CEDEX;-1.680227;48.11035300000002;48.11035300000002,-1.680227;;48.110353, -1.680227;Bretagne
Centre de développement chorégraphique;Le Pacifique;;;;38100;GRENOBLE;;;;45.18627, 5.725358;45.18627, 5.725358;Auvergne-Rhône-Alpes
Centre de développement chorégraphique;Biennale nationale de danse du Val-de-Marne;;;;94400;VITRY-SUR-SEINE;;;;48.787238, 2.391594;48.787238, 2.391594;Île-de-France
Pôle cirque;Circuits;;Rue Guynemer;Centre Cuzin;32000;AUCH;;;;43.647236, 0.582284;43.647236, 0.582284;Occitanie
Pôle cirque;Théâtre Firmein Gémier / La Piscine;;254, avenue de la Division Leclerc;;92290;CHATENAY-MALABRY;;;;48.764602, 2.267375;48.764602, 2.267375;Île-de-France
SMAC;Le Noumatrouff;Association Fédération Hiéro Mulhouse;;C/O Fédération Hiéro BP 31 35;68100;MULHOUSE;;;;47.748451, 7.338023;47.748451, 7.338023;Grand Est
SMAC;Le Florida;Adem Association pour le développement de l'expression musicale;95, boulevard Carnot;;47000;AGEN;;;;44.202916, 0.620457;44.202916, 0.620457;Nouvelle-Aquitaine
SMAC;Le Brise Glace;Association musiques amplifiées aux marquisats Annecy;54 bis, rue des Marquisats;C/o Association musiques amplifiées,;74000;ANNECY;;;;45.893031, 6.135651;45.893031, 6.135651;Auvergne-Rhône-Alpes
SMAC;Le Big Band Café;ADMH : Association pour le développement musical d'Hérouville;1, avenue du Haut Crépond;;14200;HEROUVILLE-SAINT-CLAIR;;;;49.210276, -0.336527;49.210276, -0.336527;Normandie
SMAC;Le Cargo;Arts Attack;Cours Caffarelli;;14000;CAEN;;;;49.180486, -0.341715;49.180486, -0.341715;Normandie
SMAC;la Vapeur;Régie personnalisée;42, avenue de Stalingrad;;21000;DIJON;;;;47.346335, 5.059448;47.346335, 5.059448;Bourgogne-Franche-Comté
SMAC;Penn Ar Jazz;Assciation Penn Ar Jazz;6, rue Guy Ropartz;;29200;BREST;;;;48.385826, -4.484894;48.385826, -4.484894;Bretagne
SMAC;ATM (projet SMAC d'agglomération rennaise);Association Trans Musicales;10/12, rue Jean Guy;-CS 73912;35000;RENNES;;;;48.106842, -1.695181;48.106842, -1.695181;Bretagne
SMAC;Le Chato d'O;Association Mars;113, avenue de Vendôme;;41000;BLOIS;;;;47.605351, 1.313512;47.605351, 1.313512;Centre-Val de Loire
SMAC;L'Empreinte;régie municipale;301, avenue de l'Europe;;77176;SAVIGNY-LE-TEMPLE;;;;48.595426, 2.585043;48.595426, 2.585043;Île-de-France
SMAC;Victoire II;Association Stand'art;2, rue T Renaudot;Domaine du Mas de Grille;34430;SAINT-JEAN-DE-VEDAS;;;;43.574682, 3.850943;43.574682, 3.850943;Occitanie
SMAC;Paloma;;250 Chemin de l'Aérodrome;;30000;NIMES;;;;43.855306, 4.404629;43.855306, 4.404629;Occitanie
SMAC;Lo Bolegason;;69, rue de l'Auque;;81100;CASTRES;;;;43.601771, 2.246445;43.601771, 2.246445;Occitanie
SMAC;La Lune des Pirates;Association la Lune des Pirates spectacles;17, quai Bélu;;80000;AMIENS;;;;49.896299, 2.304671;49.896299, 2.304671;Hauts-de-France
SMAC;Fuzz'Yon;Association fuzz'Yon;18, rue Sadi Carnot;BP 183;85000;LA ROCHE-SUR-YON;;;;46.670775, -1.423575;46.670775, -1.423575;Pays de la Loire
SMAC;La Gare;Association AVEC;Place du Marché;;84660;MAUBEC;;;;43.867831, 5.143548;43.867831, 5.143548;Provence-Alpes-Côte d'Azur
SMAC en cours de labellisation;La Nef;Cté d'agglomération  Grand Angoulême-Régie à autonomie financière;Rue Louis Pergaud;;16000;ANGOULEME;;;;45.641866, 0.131695;45.641866, 0.131695;Nouvelle-Aquitaine
SMAC en cours de labellisation;Echonova (projet SMAC de département);R.E.M.A. L’Echonova;1 rue Léon Griffon;;56890;Saint-Avé;;;;47.673828, -2.743307;47.673828, -2.743307;Bretagne
SMAC en cours de labellisation;Deux pièces cuisine;Commune du Blanc-Mesnil;42 avenue Paul Vaillant Couturier;;93150;LE BLANC-MESNIL;;;;48.928585, 2.476136;48.928585, 2.476136;Île-de-France
SMAC en cours de labellisation;L'Affranchi SMAC d'agglomération marseillaise;association R'Vallée;212, boulevard Saint Marcel;;13011;MARSEILLE;;;;43.286268, 5.469297;43.286268, 5.469297;Provence-Alpes-Côte d'Azur
Scène Nationale;Scène nationale 61 - Alençon, Flers, Mortagne;;2, avenue de Basingstoke;;61000;ALENÇON;0.094943;48.436352;48.436352,0.094943;48.436275, 0.095422;48.436352, 0.094943;Normandie
Scène Nationale;Bonlieu - Scène nationale;;1, rue Jean-Jaurès;BP 294;74000;ANNECY Cedex;6.128693;45.90203399999999;45.90203399999999,6.128693;45.902197, 6.128472;45.902034, 6.128693;Auvergne-Rhône-Alpes
Scène Nationale;L’Artchipel – Scène nationale;;avenue du Général Félix Eboué;BP 280;97100;BASSE TERRE Cedex;-61.72790599999999;15.992473000000002;15.992473000000002,-61.72790599999999;15.994165, -61.726048;15.992473, -61.727906;
Scène Nationale;Le Granit - Scène nationale;;1, Faubourg de Montbéliard;BP 117;90000;BELFORT Cedex;6.857865;47.636644000000004;47.636644000000004,6.857865;47.636797, 6.857904;47.636644, 6.857865;Bourgogne-Franche-Comté
Scène Nationale;Théâtre de Cavaillon - Scène nationale;;rue du Languedoc;BP 205;84300;CAVAILLON Cedex;5.042427;43.83258800000001;43.83258800000001,5.042427;43.83256, 5.04245;43.832588, 5.042427;Provence-Alpes-Côte d'Azur
Scène Nationale;Espace Malraux / Scène nationale Chambéry-Savoie;;67, place François Mitterrand;BP 147;73000;CHAMBERY Cedex;5.925292;45.566827;45.566827,5.925292;45.563335, 5.924479;45.566827, 5.925292;Auvergne-Rhône-Alpes
Scène Nationale;Le Carré - Scène Nationale -;;4, bis rue Horeau;BP 357;53200;CHÂTEAU-GONTIER Cedex;-0.697612;47.82867900000002;47.82867900000002,-0.697612;47.82866, -0.69755;47.828679, -0.697612;Pays de la Loire
Scène Nationale;Maison des Arts et de la Culture;;Place Salvador-Allende;;94000;CRÉTEIL;2.4483899999999994;48.790022000000015;48.790022000000015,2.4483899999999994;48.778451, 2.453769;48.790022, 2.44839;Île-de-France
Scène Nationale;Théâtre de l’Agora - Scène nationale;;Place de l’Agora;BP 46;91000;ÉVRY Cedex;2.43571;48.629175;48.629175,2.43571;48.627934, 2.429845;48.629175, 2.43571;Île-de-France
Scène Nationale;L’Estive / Scène nationale de Foix et de l’Ariège;;20, avenue du Général de Gaulle;BP 95;9000;FOIX Cedex;1.609287;42.96069799999999;42.96069799999999,1.609287;;42.960698, 1.609287;Occitanie
Scène Nationale;Centre Martiniquais d'Action Culturelle (CMAC);;6, rue Jacques Cazotte;;97200;FORT-DE-France;-61.065119;14.604314999999996;14.604314999999996,-61.065119;14.604361, -61.065269;14.604315, -61.065119;
Scène Nationale;La Passerelle - Scène nationale;;137, boulevard Georges Pompidou;La Passerelle;5000;GAP Cedex;6.058732;44.57402700000001;44.57402700000001,6.058732;;44.574027, 6.058732;Provence-Alpes-Côte d'Azur
Scène Nationale;MC2;Maison de la Culture de Grenoble;4 rue Paul Claudel;CS 92448;38034;GRENOBLE Cedex 2;5.730066;45.16775999999999;45.16775999999999,5.730066;;45.16776, 5.730066;Auvergne-Rhône-Alpes
Scène Nationale;Le Grand R;;Esplanade Jeannie Mazurelle;;85000;LA-ROCHE-SUR-YON Cedex;-1.429359;46.66772500000001;46.66772500000001,-1.429359;;46.667725, -1.429359;Pays de la Loire
Scène Nationale;Scène nationale de Sète et du Bassin de Thau;;Avenue Victor Hugo;;34200;SÈTE;3.698214;43.40820699999999;43.40820699999999,3.698214;43.40848, 3.698287;43.408207, 3.698214;Occitanie
Orchestre Permanent;Orchestre des Pays de Savoie;;6, rue Métropole;;73000;Chambéry;5.921964000000001;45.56494999999998;45.56494999999998,5.921964000000001;45.564903, 5.921836;45.56495, 5.921964;Auvergne-Rhône-Alpes
Opéra en région;Opéra National de Nancy et de Lorraine;;1 rue Sainte-Catherine;;54000;NANCY;6.183877;48.69375500000001;48.69375500000001,6.183877;48.693985, 6.184578;48.693755, 6.183877;Grand Est
Pôle cirque;Centre culturel Agora;;;BP 161;24750;BOULAZAC;;;;45.185786, 0.77558;45.185786, 0.77558;Nouvelle-Aquitaine
Pôle cirque;Le Prato;;6, allée de la Filature;;59000;LILLE;;;;50.619345, 3.071094;50.619345, 3.071094;Hauts-de-France
Scène Nationale;Centre Culturel du Blésois - Scène nationale;;Place de la République;BP 179;41000;BLOIS;1.3338;47.589372000000004;47.589372000000004,1.3338;47.589955, 1.333897;47.589372, 1.3338;Centre-Val de Loire
Scène Nationale;La Comète - Scène nationale;;5, rue des Fripier;BP 233;51010;CHALONS EN CHAMPAGNE;4.363944;48.95629700000001;48.95629700000001,4.363944;;48.956297, 4.363944;Grand Est
Scène Nationale;La Comédie de Clermont-Ferrand;;Rue Abbé de l’Épée;;63000;CLERMONT-FERRAND;3.084558;45.76992700000001;45.76992700000001,3.084558;45.769728, 3.085876;45.769927, 3.084558;Auvergne-Rhône-Alpes
Scène Nationale;L’Hippodrome - Scène nationale;;Place du Barlet;BP 79;59502;DOUAI Cedex;3.082847;50.365708;50.365708,3.082847;;50.365708, 3.082847;Hauts-de-France
Scène Nationale;Le Bateau Feu - Scène nationale;;Place du Général de Gaulle;BP 2064;59300;DUNKERQUE;2.380813;51.03602300000001;51.03602300000001,2.380813;;51.036023, 2.380813;Hauts-de-France
Scène Nationale;Scène nationale Évreux-Louviers;;Place Charles de Gaulle;;27000;ÉVREUX;1.15116;49.02733299999999;49.02733299999999,1.15116;49.027378, 1.150741;49.027333, 1.15116;Normandie
Scène Nationale;Le Carreau - Scène Nationale de Forbach et de l’Est Mosellan;;avenue Saint-Rémy;BP 40190;57603;FORBACH Cedex;6.898134;49.18701899999999;49.18701899999999,6.898134;;49.187019, 6.898134;Grand Est
Scène Nationale;La Ferme du buisson;Scène nationale de Marne-la-Vallée;Allée de la Ferme;;77186;NOISIEL;;;;48.844729, 2.625589;48.844729, 2.625589;Île-de-France
Scène Nationale;L'Allan - Scène Nationale de Montbéliard;;54, rue Clemenceau;BP 236;25204;MONTBÉLIARD Cedex;6.797719;47.511205000000004;47.511205000000004,6.797719;;47.511205, 6.797719;Bourgogne-Franche-Comté
Scène Nationale;Le Moulin du Roc - Scène nationale;;9, boulevard Main;BP 405;79000;NIORT Cedex;-0.468096;46.32580299999999;46.32580299999999,-0.468096;46.325665, -0.467965;46.325803, -0.468096;Nouvelle-Aquitaine
Scène Nationale;Le Carré Saint-Vincent - Scène nationale d'Orléans;;Le Carré Saint-Vincent;;45000;ORLÉANS;1.916929;47.91864699999999;47.91864699999999,1.916929;47.904183, 1.91292;47.918647, 1.916929;Centre-Val de Loire
Scène Nationale;Le Manège de Reims - Scène nationale;;2, boulevard du Général Leclerc;BP 1063;51100;REIMS Cedex;4.021506;49.251896000000016;49.251896000000016,4.021506;49.25457, 4.022331;49.251896, 4.021506;Grand Est
Scène Nationale;La Coupole - Scène nationale;Centre de Création et de Diffusion Artistique de Sénart;rue Jean-François Millet;;77380;COMBS-LA-VILLE;2.545007;48.665251;48.665251,2.545007;48.659346, 2.567974;48.665251, 2.545007;Île-de-France
Scène Nationale;Le Phénix  - Scène nationale de Valenciennes;;Boulevard Henri Harpignies;;59300;VALENCIENNES Cedex;3.5339509999999996;50.36142600000001;50.36142600000001,3.5339509999999996;50.364409, 3.524458;50.361426, 3.533951;Hauts-de-France
Centre d’art;CEAAC - CENTRE EUROPEEN D'ACTIONS;ARTISTIQUES CONTEMPORAINES;7, rue de l'Abreuvoir;;67000;STRASBOURG;;;;48.578947, 7.760034;48.578947, 7.760034;Grand Est
Centre d’art;WHARF - CENTRE D'ART CONTEMPORAIN;DE BASSE-NORMANDIE;7, passage de la Poste;;14200;HÉROUVILLE SAINT-CLAIR;;;;49.203271, -0.333183;49.203271, -0.333183;Normandie
Centre d’art;CENTRE D'ART PASSERELLE;;41 rue Charles Berthelot;;29200;BREST;;;;48.397838, -4.479698;48.397838, -4.479698;Bretagne
Centre d’art;LA CRIÉE CENTRE D'ART CONTEMPORAIN;;Place Honoré Commeurec;;35000;RENNES;;;;48.1084, -1.67969;48.1084, -1.67969;Bretagne
Centre d’art;PASSAGES - CENTRE D'ART CONTEMPORAIN;;9, rue Jeanne d'Arc;;10000;TROYES;;;;48.292305, 4.067997;48.292305, 4.067997;Grand Est
Centre d’art;GALERIE MARCEL DUCHAMP;CENTRE D'ART CONTEMPORAIN;7-9, rue Percée;;76190;YVETOT;;;;49.618068, 0.755523;49.618068, 0.755523;Normandie
Centre d’art;PALAIS DE TOKYO - SITE DE CRÉATION;CONTEMPORAINE;2, rue de la Manutention;;75116;PARIS;;;;48.86541, 2.27774;48.86541, 2.27774;Île-de-France
Centre d’art;LE JEU DE PAUME;;1, place de la Concorde;;75008;PARIS;;;;48.867065, 2.321877;48.867065, 2.321877;Île-de-France
Centre d’art;LA FERME DU BUISSON;CENTRE D'ART ET DE CULTURE;Allée de la Ferme;;77186;NOISIEL;;;;48.844729, 2.625589;48.844729, 2.625589;Île-de-France
Centre d’art;CENTRE DE PHOTOGRAPHIE DE LECTOURE;ARRÊT SUR IMAGE;5, rue Sainte-Claire;;32700;LECTOURE;;;;43.9344, 0.622243;43.9344, 0.622243;Occitanie
Centre d’art;ACTE DE NAISSANCE;GALERIE L'H DU SIÈGE;15, rue de l'Hôpital de Siège;;59300;VALENCIENNES;;;;50.352224, 3.520612;50.352224, 3.520612;Hauts-de-France
Centre d’art;LE GRAND CAFÉ;CENTRE D'ART CONTEMPORAIN;Place des quatre z'Horloges;;44600;SAINT-NAZAIRE;;;;47.283577, -2.293727;47.283577, -2.293727;Pays de la Loire
Centre d’art;LA CHAPELLE JEANNE D'ARC;;Place Jeanne d'Arc;;79100;THOUARS;;;;46.98482, -0.210144;46.98482, -0.210144;Nouvelle-Aquitaine
Centre d’art;POUR l'INSTANT;CENTRE PHOTOGRAPHIQUE;7 avenue de Limoges;;79000;NIORT;;;;46.321859, -0.455783;46.321859, -0.455783;Nouvelle-Aquitaine
Centre d’art;LE MAGASIN - CENTRE NATIONAL D'ART;CONTEMPORAIN;Site Bouchayer Viallet;;38000;GRENOBLE;;;;45.191098, 5.719737;45.191098, 5.719737;Auvergne-Rhône-Alpes
Centre Dramatique National;THEATRE DE LA COMMUNE;CENTRE DRAMATIQUE NATIONAL D’AUBERVILLIERS;2, rue Edouard Poisson;B.P. 157;93304;AUBERVILLIERS CEDEX;2.3850020000000005;48.910481999999995;48.910481999999995,2.3850020000000005;;48.910482, 2.385002;Île-de-France
